lot_id,account_id,client_id,ticker,shares,cost_basis_per_share,current_price,cost_basis_total,current_value,unrealized_gl_dollars,unrealized_gl_pct,purchase_date,term,wash_sale_flag,replacement_ticker,asset_class,notes
L001,A005,C002,NVDA,2500,5.60,115.00,14000,287500,273500,1953.57%,2021-03-15,Long-Term,false,,Equity,Q1 2021 vest; 1953% gain; harvesting would trigger massive tax
L002,A005,C002,NVDA,2500,7.60,115.00,19000,287500,268500,1413.16%,2021-06-15,Long-Term,false,,Equity,Q2 2021 vest; 1413% gain; hold indefinitely
L003,A005,C002,NVDA,2000,8.00,115.00,16000,230000,214000,1337.50%,2021-09-15,Long-Term,false,,Equity,Q3 2021 vest; high gain; candidate for charitable donation to foundation
L004,A005,C002,NVDA,2000,11.80,115.00,23600,230000,206400,873.73%,2021-12-15,Long-Term,false,,Equity,Q4 2021 vest; still substantial gain
L005,A005,C002,NVDA,1500,10.80,115.00,16200,172500,156300,964.81%,2022-03-15,Long-Term,false,,Equity,Q1 2022 vest; gain but smaller
L006,A005,C002,NVDA,1500,6.20,115.00,9300,172500,163200,1754.84%,2022-06-15,Long-Term,false,,Equity,Q2 2022 vest at dip; large gain
L007,A005,C002,NVDA,800,120.50,115.00,96400,92000,-4400,-4.56%,2025-09-15,Short-Term,false,SMCI,Equity,Q3 2025 vest; UNDERWATER -$4400; SHORT-TERM loss harvest candidate; replacement: SMCI
L008,A005,C002,NVDA,800,118.20,115.00,94560,92000,-2560,-2.71%,2025-12-15,Short-Term,false,SMCI,Equity,Q4 2025 vest; UNDERWATER -$2560; SHORT-TERM loss harvest candidate
L009,A005,C002,NVDA,600,130.40,115.00,78240,69000,-9240,-11.81%,2026-01-15,Short-Term,false,AMD,Equity,Q1 2026 vest; UNDERWATER -$9240; largest current TLH opportunity; replacement: AMD
L010,A009,C002,NVDA,3000,0.00,115.00,0,345000,345000,N/A,2022-06-01,Long-Term,false,MSFT,Equity,Donated shares; zero cost basis; ESG board approval required; consider exchange fund or CRT
L011,A006,C002,SPY,1200,380.00,565.00,456000,678000,222000,48.68%,2021-08-01,Long-Term,false,,Equity,Systematic NVDA sale proceeds reinvested
L012,A006,C002,QQQ,800,310.00,480.00,248000,384000,136000,54.84%,2021-08-01,Long-Term,false,,Equity,Diversification; tech-heavy index
L013,A006,C002,AGG,3000,108.00,97.50,324000,292500,-31500,-9.72%,2022-01-15,Long-Term,false,BND,Fixed Income,TLH eligible; bond loss from rate rises; replacement BND
L014,A006,C002,VNQ,1500,98.00,88.40,147000,132600,-14400,-9.80%,2022-03-01,Long-Term,false,IYR,Real Estate,TLH eligible; REIT losses from rate environment; replacement IYR
L015,A001,C001,SPY,800,399.00,565.00,319200,452000,132800,41.61%,2020-03-20,Long-Term,false,,Equity,Bought at COVID low
L016,A001,C001,SPY,400,450.00,565.00,180000,226000,46000,25.56%,2021-06-15,Long-Term,false,,Equity,Additional purchase
L017,A001,C001,QQQ,300,320.00,480.00,96000,144000,48000,50.00%,2020-06-01,Long-Term,false,,Equity,Tech allocation
L018,A001,C001,TLT,2000,142.00,87.21,284000,174420,-109580,-38.58%,2021-01-15,Long-Term,false,IEF,Fixed Income,Significant TLH opportunity; bond losses from rate cycle
L019,A001,C001,LQD,1500,120.00,108.69,180000,163035,-16965,-9.43%,2022-06-01,Long-Term,false,VCIT,Fixed Income,TLH eligible
L020,A017,C005,SPY,3000,250.00,565.00,750000,1695000,945000,126.00%,2017-06-01,Long-Term,false,,Equity,Core long-term holding
L021,A017,C005,QQQ,2000,155.00,480.00,310000,960000,650000,209.68%,2018-03-01,Long-Term,false,,Equity,Tech growth
L022,A017,C005,MSFT,1500,85.00,415.00,127500,622500,495000,388.24%,2017-04-03,Long-Term,false,,Equity,Long-term holding
L023,A017,C005,NVDA,500,45.00,115.00,22500,57500,35000,155.56%,2019-01-15,Long-Term,false,,Equity,Early AI position
L024,A010,C003,VTI,1200,185.00,258.00,222000,309600,87600,39.46%,2023-01-10,Long-Term,false,,Equity,Core total market
L025,A010,C003,VXUS,800,52.00,58.40,41600,46720,5120,12.31%,2023-01-10,Long-Term,false,,Equity,International diversification
L026,A010,C003,BND,1500,72.00,74.20,108000,111300,3300,3.06%,2023-01-10,Long-Term,false,,Fixed Income,Bond core
